Video Başlığı,Yorum Yapan,Yorum Tarihi,Yorum,Beğeni Sayısı,Yanıt Sayısı,Predicted_Class
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@yunusemrephlvn8695,3 yıl önce,"konvolüsyon , kuantalama yada nicemleme olarakta geçiyor sanırım",0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@yasinakcil7758,4 ay önce,"3 gun sonra final var, galiba kalacam. Buraya not edeyim.",0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@nurullahcalskan9997,5 yıl önce,bro güzel anlatıyosun anlatamadın sanıyosun  anlatabiliyosun :),0,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),,6 yıl önce,süpersin,1,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@ibrahimmiracyalcin8392,5 yıl önce,"8:43!de başlayan ve kat sayı durumlarından elde edilen 0.5 durumu için ve 1 durumu için elde edilen değerlerin aynı çıkması normal mi? değişen 0,1,2  durumları için diğer kat sayılara bakılması lazım değil mi?",0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@emekozdemir9390,6 yıl önce,Çok iyi anladım  ,0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@mathmaker6988,4 yıl önce,h(n-1) grafiği h(n) nin 1 birim saga kaymış hali olmalı mıydı?,1,1,negatif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@Emrecanarslan7,5 yıl önce,Şapkalı çocuk <3,1,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@gokturknuhoglu2689,5 yıl önce,kralsın,0,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),,5 yıl önce,Kardeşim soru atsam yapabilir misin biz isin icinden çıkamadık yardım :/,1,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@romelelectronics,4 yıl önce,vay bro :),0,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@aleynapolat2623,3 yıl önce,Senin de öğretmenler günün kutlu olsun az şey öğretmedin jsjsjsj,1,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@miracle9174,6 yıl önce,Bizim hoca önce h(n)=h(k) yaptıktan sonra sonra sinyalleri -ile çarpıp h(-k) yapıyor ve tek tek sinyalere n sayısı ekleyerek h(n-k) ya dönüştürüyor ve  öyle çözüme başlıyor.Sizin yönteminiz daha pratik aslında ama hocamız kabul etmeyebilir sınavda hangisini yapcagım konusunda kafam karışık.,1,3,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@emredogan1973,4 yıl önce,Hocam eleman sayısı bulunurken hep m+n-1 kullanılıyo samples sayısını bulmak için hiç bununla alakalı istisnai bir durum var mı yani sadece m+n olacak şekilde,0,1,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@goncagulsanloglu7784,6 yıl önce,"bu dersi geçersem sizin sayenizde, teşekkürler :)",0,4,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@furkan2724,5 yıl önce,örnekte en son kısımda cevabı veren grafik 1 birim sağ ötelenmesi lazım orda bi yanlışlık olmuş. kafanız karışmasın,1,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@meamea3713,4 yıl önce,hocam iyi günler acaba yorumuma cevap verebilirmisiniz,0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@alfredoplayz6345,6 yıl önce,allah rızası ıcın ya sınavda cıkıcak .DÇ 2 tane soru var yardımcı ol bana lutfen,0,1,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@alfredoplayz6345,6 yıl önce,soru sorabılıymıyoruz acaba cok acıl bana yardımcı olurmusnuz,0,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@hacerdikici7819,1 yıl önce,İnşaallah herkes tek de geçsin kalınırsada üzülmeye degmez çünkü degerliyiz canımız Allah sağlık versin huzur versin Kim ne istiyorsa Allah tan Allah en kısa zaman da  Aydınlıga çıkarsın Bu DUA herkeze gelsin,446,38,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@hafizep.1122,10 ay önce,"53 yaşındayım Cumartesi sınavım vardı ilk sınavda geçtim,sizin videolarınızın çok faydası oldu teşekkür ederim Rabbim herkesi kolaylıkla geçirsin",36,3,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@bblampute,1 yıl önce,Dron ile çekim acayip iyi olmuş birde normal derslerde pedalları kamera ile çekince daha faydalı oluyor her geçen gün kalitenizi artırıyorsunuz hocam elinize emeğinize sağlık ,120,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@ilknur53123,1 yıl önce,"İkinci hakkımda sınavdan geçtim. Birincide komisyonum kötüydü ve beni strese soktular. İkinci sınavımds ki komisyonlar iyiydi hiç konuşmadılar. Allah sizleri iyi kişilerle karşılaştırsın. İyi süren herkes hakkıyla geçsin inşallah sınavdan. Tek önerim sakin kalın hocanızla dersteymissiniz gibi sakin olun. Stres sizin düşmanınız hata yaptırır. Derste yaptığınız hatalarida neden yaptığınızı öğrenin tekrar etmemek adına hocaniza mutlaka sorun. Başarılar diliyorum herkese. Ümmet hoca da bana çok şey kattı, daha direksiyon dersine başlamadan çoğu şeyi videolarından öğrendim. Ondan da Allah razı olsun. İyi insanların sayısı artsın ",34,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@meleksimsek7575,1 yıl önce,Okadar emek veriyoruz bir sinyal unuttuk diye kalmak nekadar dogru usta suruculer unutuyor hala sinyali aslında bir kac hak verilmeli,53,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@esraturgut7712,10 ay önce,Arkadaşlar bu yorumu sizlerin de dikkat etmesini istediğim için yazıyorum. Aracı başladığı noktaya sorunsuz şekilde getirdiğinizde ve sağa yanaştırırken lütfen ve lütfen sinyal vermeyi unutmayın. Tüm güzergahta eksiksiz hareket etmeye çalışırken patladığım ve kaldığım nokta oldu. Çok üzülmüştüm bunu lütfen siz yapmayın.,50,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zubeydecnar6874,1 yıl önce,Hocam ben ilk sınavdan kaldım hocanın sayesinde şimdi 1500 lira tekrar ödeyip ikinciye girecem ama bu sefer eğitim 3 gün ve ücret çok tuzlu zehir zıkkım olsun diyorum ve asla helal etmiyorum sizin videoları izleyerek gececem birdaha hoca bozuntusunun yüzünü görmek istemiyorum ama sizin gibi hocaların başımızın üstünde yeri vardır teşekkür ediyorum,22,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@happysnouts,11 ay önce,"7- Yerleşim yerinde sağa sola döneceksen sinyal 30 metre önceden, çevre yolu yani yerleşim yeri dışında 150 metre önce  sinyal ver, zira burada hız fazladır. Mantık şudur arkadan gelenin pozisyon almasını sağlamak için en makul süreyi tanımamız gerekir.",10,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@yakut1030,1 yıl önce,O kadar iyi anlatıyorsunuz ki anlamamak mümkün değil.Tesekkur ederim,10,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zeyneppp5255,1 yıl önce,Videolarınız harika hocam . İnsan cesaret aşılıyorsunuz . Teşekkürler ,21,0,nötr
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@mustafazahidergun3744,1 yıl önce,"Haydaa, drone çok iyi olmuş hocam, vizyon müthiş..",10,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@yaseminsevginur1978,1 yıl önce,"Hocam merhabalar, ehliyet alma süreci daha önceden araç kullanmayanlar için gerçekten çok çok zor. Bence bol pratik ve emek gerekiyor. Hocalarımın sabırla gösterdiği emek çok büyük. Gerçekten öğretmen bu süreçte sizin de dediğiniz gibi çok önemli. Açıklayıcı ve net anlatımınız sayesinde videolarınız kafamdaki soru işaretlerini giderdi.  Bugün 2. sınavımda geçtim.   İlk sınavda kalınca sizle irtibata geçmiştim Bana moral vermiştiniz. Tekrar teşekkür ederim. Paralel parkta sıra beklememek için komisyon sollayıp öne geçip park yapabilir miyim diye sordu. Hocalarım  komisyonu dinleme derslerimizdeki gibi yap demişlerdi heyecandan tamam dedim ve hizamı alamadığım için ön dubaya değdim. Üstelik derslerde hiç yapmadığım bir hataydı. Bugün komisyon park sırasını  beklememek için yine sollayabilir misin dedi ben de beklemek istediğimi söyledim ve parkurumu başarı ile tamamladım. Ilımlı insanlar denk geldi. Gerçekten gözünüzde büyütmeyin hiçbir sey sizden degerli degil komisyon da bizler gibi insan. Ama ılımlı insanlar denk gelmesi bence çok önemli. Bir tebessüm, olumlu ufak bir söz bile insanın modunu yükseltebiliyor o an. Gerçekten isteyince er ya da geç elbet olacak. Bol pratik yapıp işin mantığını anlarsanız her şey kolaylıkla hallolacaktır. Allah isteyen kurallara uyup saygılı şoför olacak herkese nasip etsin gerçekten büyük mutluluk. Emekleriniz için çok teşekkür ederim ",65,7,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@AliOsmanOzalp-sy3nt,9 ay önce,Sinyal videosu için teşekkürler ümmet hocam,6,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@canancandan7,1 yıl önce,Ümmet hocayı youtube da keşfettim.Acayip güzel anlatıyor ben ehliyet almayı düşünürken Ümmet hocanın videolarını izledim resmen araba kullanma olayını çözdüm. Çok güzel bilgiler veriyor sabırlı hocamız. ALLAH razı olsun.,12,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@hikmetmeric7715,11 ay önce,"Droneli anlatım, mükemmel  
Size Allah razı olsun diyorum.",4,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@ayselarslan6778,1 yıl önce (düzenlendi),Çok şükür Rabbime Rabbimin izniyle yardımıyla gectimm  Allah komisyon hocalarimdan ve sizdende razı olsun hocam  hakkınızı helal edin  Allah izniyle inşallah hepinizde geçersiniz sıkıntı etmeyin Allaha bırakın sakin olun,7,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@Mertreis502,7 ay önce,Hocam hocaların kralısın Allah size sağlık baṣarı ve mutluluklar versin Allaha emanet olun.Ne kadar faydanız oldu.,3,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zekiyedogan9630,3 gün önce,Acayip bir anlatım hersehire bir ümmet taşçı ,1,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@EmineKorkmaz-x6f,8 ay önce,Süpersiniz hocam masaalah subanallah,3,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@Emre.-_-,1 ay önce,"Muhteşem bir video, izledi, ve geçtim sınavı diyebilirim. Cok teşekkürler",1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@tevfik_avsar,1 yıl önce,mis gibi emek kokuyor hocam agzınıza sağlık,6,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@borankaya2634,1 yıl önce,"Gerçekten drone çekimleri,sinyal göstergeleri ve park çubukları harika olmuş .Çok beğendik",16,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@happysnouts,11 ay önce (düzenlendi),"2- iLK KALKIŞ: KOLTUK - KEMER -AYNA  ayarı sıralamasıdır. Ezberle.  Sola  sinyal vermeden, verdikten sonra arkadan gelen aracın  sinyali içselleştirmesi beklenilmeden KALKIŞ yapılmaz.",2,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@Siyahbugulu,3 ay önce,cok faydalandım tesekkurler.iyi insan hali baska.motive  eden konusmasi diger hocalar gibi degil.hakkiniveriyor.iyi gunler,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@sevdenurtama4409,1 yıl önce,kıymetli anlatımlarınız için çok teşekkürler hocam,7,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@SerapFarsak,3 ay önce,Çok şükür geçtim son hakkımda komisyon hocaları cok iyidi Allah'ım herkeze nasip etsin,3,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@cylnakkl9272,1 yıl önce,Hocam sagolun videolarınız okadar kıymetli ve egitici ki sizi izleyerek biraz daha stresimi azalttım Okadar gözümde büyüttüm ki sanki kalacak gibi bi his vardı bende tek seferde geçtim rabbim isteyen herkesin yardımcısı olsun inşallah geçersiniz sakin olun sadece yapamıyacagınız hiç bişey yok ,24,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@_mydurak,2 ay önce,Yazılı sınavımı geçtimm şimdi Ümmet hocanın videolarıni izleyerek direksiyon derslerime gireceğim günü bekliyorum ,1,1,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@babikadam18,7 ay önce,Harika hocam emeğinize sağlık,2,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@zelihabahar2692,6 ay önce,Bu kadar açıklayıcı bir anlatım yok gerçekten teşekkür ederim ,1,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@canseverkarakose-in4wg,1 yıl önce,Güzel anlatimlarınız için sonsuz teşekkürler hocam Allah razı olsun ,14,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@minevverutus3856,1 yıl önce,"Sayın hocam hürmetler. 
Birçok videolarınızı izledim çok da faydası oldu bana Rabbim razı olsun inşallah 
Ehliyetimi 5 ay önce aldım ilk sınavda geçmek nasip oldu. Sizlerin emek emek çektiğiniz videoların bu süreçte çook faydasını gördüm eksik olmayın. Hocam başarılarınız daim olsun. 5 ay sonra YouTube da bir videonuzu görünce, hemen en güncel videonuza girip sizlere teşekkür etmek istedim. Çok teşekkür ederim elinize, dilinize, yüreğinize sağlık",8,2,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@gemlikkbursaa6490,1 yıl önce,Hocam ALLAH razı osunl  dronla cok daha guzel  emeginize sağlik olsun,2,0,pozitif
SİNYAL NERELERDE YAKILIR ? DİREKSİYON SINAVINDA SİNYAL YAKILIR MI ? #direksiyonsınavı #ehliyet,@rosegul7515,11 ay önce,Direksiyon sınavına hazirlanirken surekli sizin videolarinizi izledim cok faydasi oldu sinavi geçtim cok tesekkur ederim hocam Allah sizden razı olsun Allah sizi cennetine alsin,3,0,pozitif
